номер;файл;png_файл;описание
7.23;svg/task-7-23.svg;png/task-7-23.png;рис. 7.9 — ломаные и отрезки
7.25;svg/task-7-25.svg;png/task-7-25.png;рис. 7.10 — точки и ломаная
7.28;svg/task-7-28.svg;png/task-7-28.png;рис. 7.11 — часы с лучами
7.29;svg/task-7-29.svg;png/task-7-29.png;рис. 7.12 — ломаные
7.48;svg/task-7-48.svg;png/task-7-48.png;рис. 7.13 — лучи из точки Q
7.49;svg/task-7-49.svg;png/task-7-49.png;рис. 7.13 и рис. 7.14
7.57;svg/task-7-57.svg;png/task-7-57.png;рис. 7.19 — транспортир
7.70;svg/task-7-70.svg;png/task-7-70.png;рис. 7.21 — прямые и лучи
7.73;svg/task-7-73.svg;png/task-7-73.png;рис. 7.22 — лучи и пересечение
п.29;svg/task-p-29.svg;png/task-p-29.png;рис. 1 — вертикальная шкала
п.43;svg/task-p-43.svg;png/task-p-43.png;рис. 2 — отрезки в круге и рядом
п.46;svg/task-p-46.svg;png/task-p-46.png;рис. 3 — точки M, N, P, K на прямой
п.67;svg/task-p-67.svg;png/task-p-67.png;рис. 4 — мерный цилиндр
п.68;svg/task-p-68.svg;png/task-p-68.png;рис. 5 — пересекающиеся прямые
п.69;svg/task-p-69.svg;png/task-p-69.png;рис. 6 — две квадратные фигуры
п.70;svg/task-p-70.svg;png/task-p-70.png;рис. 7 — квадрат, разделённый на части
п.74;svg/task-p-74.svg;png/task-p-74.png;рис. 8 — многоугольник
п.75;svg/task-p-75.svg;png/task-p-75.png;рис. 9 и рис. 10 — треугольники с размерами
п.107;svg/task-p-107.svg;png/task-p-107.png;рис. 11 и рис. 12 — числовые таблицы
п.108;svg/task-p-108.svg;png/task-p-108.png;рис. 13 — схемы на сетке
